ticker,entry_date,exit_date,entry_price,exit_price,hold_days,return_pct,exit_reason,arm,excess_pct
BEN,2015-12-15,2015-12-16,35.55,35.97,1,1.181434599156117,stop,random,-0.20980137098707274
BEN,2015-12-17,2015-12-18,36.22,35.22,1,-2.760905577029271,stop,random,-1.27809127479791
BEN,2016-09-28,2016-09-29,34.59,34.99,1,1.1564035848511178,stop,random,2.076650920535561
BEN,2016-10-31,2016-11-01,34.32,33.89,1,-1.2529137529137535,stop,random,-0.3099497169124166
BEN,2016-12-05,2017-03-06,39.53,42.56,61,7.665064507968644,hold_limit,random,1.5668151546095466
BEN,2017-09-27,2017-11-01,43.94,42.45,25,-3.390987710514326,stop,random,-4.758330791449151
BEN,2018-01-29,2018-01-31,45.7,42.92,2,-6.083150984682717,stop,random,-4.964827028787466
BIIB,2013-03-28,2013-06-25,186.6,201.75,61,8.11897106109325,hold_limit,signal,6.8515385489344105
BIIB,2013-09-11,2013-12-06,228.5,289.55,61,26.717724288840273,hold_limit,random,19.98811083682697
BIIB,2014-10-20,2014-11-18,305.24,305.68,21,0.1441488664657209,stop,random,-8.312470962131126
BIIB,2015-03-27,2015-06-24,430.12,415.43,61,-3.415325955547288,hold_limit,random,-4.903676895855035
BIIB,2015-09-03,2015-09-22,306.47,292.52,12,-4.551832153228719,stop,random,-3.8268315056334212
BIIB,2016-03-09,2016-03-10,261.26,257.0,1,-1.6305595958049368,stop,random,-1.7233098674874991
BIIB,2016-10-24,2016-10-31,292.3,284.91,5,-2.528224426958603,stop,random,-1.382780379213322
BIIB,2017-02-28,2017-03-17,290.13,276.07,13,-4.846103470857887,stop,random,-5.085536311258975
BIIB,2017-04-19,2017-05-05,272.72,268.32,12,-1.6133763567028558,stop,random,-3.7132604960007476
BIIB,2017-06-06,2017-06-19,257.06,253.23,9,-1.4899245312378517,stop,random,-2.948711258662995
BLL,2016-08-05,2016-11-01,39.255,38.615,61,-1.63036555852758,hold_limit,signal,1.7993582109601336
BLL,2013-10-31,2014-01-30,24.275,25.9,61,6.694129763130796,hold_limit,random,3.2857056404192786
BLL,2014-04-29,2014-07-25,28.205,31.805,61,12.763694380429014,hold_limit,random,6.915429076806534
BLL,2015-11-10,2015-11-13,33.43,32.755,3,-2.019144481005075,stop,random,0.8968686546455329
BLL,2016-02-25,2016-05-23,33.335,35.765,61,7.28963551822408,hold_limit,random,-0.2496667189466173
BLL,2016-06-22,2016-06-27,36.165,34.305,3,-5.143094151804228,stop,random,-0.008009663184805227
BLL,2016-08-29,2016-11-23,39.37,38.31,61,-2.6924053848107588,hold_limit,random,-4.609705828995258
BLL,2016-12-21,2016-12-30,38.2,38.045,6,-0.40575916230366493,stop,random,0.8220963523747682
BLL,2017-06-23,2017-09-20,41.74,40.66,61,-2.587446094873036,hold_limit,random,-4.445930693828847
BSX,2015-10-29,2016-01-28,18.38,17.28,61,-5.984766050054391,hold_limit,signal,4.408963846943104
BSX,2013-09-27,2013-12-24,11.61,11.97,61,3.100775193798455,hold_limit,random,-5.204564180588122
BSX,2014-02-25,2014-05-22,13.09,12.78,61,-2.3682200152788435,hold_limit,random,-4.337527904449711
BSX,2014-06-06,2014-06-10,13.19,12.77,2,-3.1842304776345753,stop,random,-3.054787439264106
BSX,2014-08-18,2014-08-28,12.56,12.28,8,-2.2292993630573354,stop,random,-3.4753986755039046
BSX,2015-12-09,2016-01-12,18.58,17.24,22,-7.212055974165765,stop,random,-1.3700602557116364
BSX,2016-01-27,2016-01-28,17.37,17.28,1,-0.5181347150259086,stop,random,-0.6049394676756803
BSX,2016-06-16,2016-09-13,22.72,23.6,61,3.8732394366197243,hold_limit,random,0.8313304096617902
BSX,2017-04-19,2017-07-17,24.33,27.77,61,14.13892314015619,hold_limit,random,9.633325863299191
BSX,2017-11-10,2017-11-29,28.5,26.7,12,-6.315789473684208,stop,random,-9.015775483254762
CAG,2015-03-30,2015-06-25,36.74,43.99,61,19.73326075122481,hold_limit,signal,19.79072787720908
CAG,2013-10-11,2014-01-09,30.68,33.59,61,9.485006518904825,hold_limit,random,1.4461748955618674
CAG,2014-07-17,2014-10-13,30.74,33.45,61,8.815875081327285,hold_limit,random,14.291971107390179
CAG,2015-07-08,2015-10-02,45.21,40.58,61,-10.24109710241098,hold_limit,random,-5.484949970184006
CAG,2015-11-10,2015-11-12,41.27,40.51,2,-1.8415313787254806,stop,random,0.14110257719531782
CAG,2016-04-13,2016-07-11,46.34,48.24,61,4.100129477772985,hold_limit,random,0.49526074164409906
CAG,2016-11-28,2016-12-01,37.71,36.38,3,-3.52691593741713,stop,random,-2.959777106156636
CAG,2017-01-17,2017-04-13,38.5,40.57,61,5.376623376623368,hold_limit,random,3.1723111671373205
CAG,2017-05-19,2017-06-20,37.66,37.59,21,-0.18587360594793934,stop,random,-2.367857737813861
CAG,2018-02-06,2018-02-07,35.1,35.89,1,2.25071225071225,data_end,random,2.5365225465251884
CDNS,2013-04-26,2013-07-24,13.75,15.61,61,13.52727272727272,hold_limit,signal,6.214755806142968
CDNS,2013-10-24,2013-10-25,13.75,13.08,1,-4.872727272727273,stop,random,-5.368638865642139
CDNS,2014-06-13,2014-09-10,16.81,17.87,61,6.305770374776931,hold_limit,random,3.189421950801541
CDNS,2014-11-28,2015-02-06,18.79,17.3,47,-7.929749866950497,stop,random,-8.909314231042043
CDNS,2015-09-11,2015-12-08,20.73,21.8,61,5.1616015436565466,hold_limit,random,2.0957617014407903
CDNS,2016-06-15,2016-09-12,24.49,24.94,61,1.8374846876276107,hold_limit,random,-3.1201467096461766
CDNS,2016-12-09,2017-01-03,26.28,25.43,15,-3.2343987823439946,stop,random,-2.131014292504374
CDNS,2017-02-03,2017-05-03,29.05,32.71,61,12.598967297762487,hold_limit,random,9.737002946755657
CERN,2013-09-30,2013-12-26,52.0,55.57,61,6.865384615384618,hold_limit,signal,-2.1678341259068867
CERN,2015-07-30,2015-08-06,72.69,67.42,5,-7.249965607373776,stop,signal,-6.705852013785062
CERN,2013-08-14,2013-08-16,49.0,46.89,2,-4.306122448979588,stop,random,-2.48264744332628
CERN,2013-09-13,2013-12-10,48.73,56.79,61,16.540119023189014,hold_limit,random,9.78261177081976
CERN,2014-01-06,2014-04-03,54.67,56.36,61,3.0912749222608227,hold_limit,random,-2.44395554721355
CERN,2014-05-27,2014-07-10,53.43,50.48,31,-5.521242747520128,stop,random,-8.314399538517714
CERN,2014-07-23,2014-10-17,54.45,56.89,61,4.48117539026629,hold_limit,random,9.34187322458806
CERN,2014-11-07,2015-02-06,63.94,67.13,61,4.9890522364716805,hold_limit,random,2.0266014536952426
CERN,2015-04-24,2015-05-13,73.18,67.46,13,-7.816343263186676,stop,random,-6.685094774596767
CERN,2015-08-27,2015-08-28,62.3,61.22,1,-1.7335473515248778,stop,random,-2.0219975727443606
CERN,2016-08-16,2016-11-03,66.58,54.26,56,-18.504055271853414,stop,random,-14.144517370304797
CERN,2016-12-30,2017-01-03,48.0,47.7,1,-0.6249999999999978,stop,random,-1.4199511357408157
CERN,2017-02-01,2017-05-01,53.61,64.63,61,20.55586644282783,hold_limit,random,16.517543217340958
CERN,2017-09-07,2017-12-04,67.71,70.34,61,3.8842120809334135,hold_limit,random,-3.9077038576690093
CF,2013-07-30,2013-10-24,39.343,42.344,61,7.627786391480051,hold_limit,signal,1.8647921879799911
CF,2014-02-21,2014-05-20,48.24,49.228,61,2.0480928689883937,hold_limit,random,0.673923756679562
CF,2015-10-08,2015-11-06,51.73,46.8,21,-9.530253237966368,stop,random,-12.220290868610828
CF,2016-10-26,2016-11-04,25.45,22.65,7,-11.001964636542239,stop,random,-8.769271884476648
CF,2017-03-28,2017-04-04,29.26,28.42,5,-2.8708133971291905,stop,random,-2.7096177779200703
CF,2017-06-29,2017-09-26,27.4,35.78,61,30.58394160583944,hold_limit,random,28.16023710339022
CF,2017-10-24,2018-01-23,36.74,40.65,61,10.642351660315729,hold_limit,random,0.8250037955635392
CF,2018-01-29,2018-02-07,41.9,39.48,7,-5.775656324582346,data_end,random,0.165987240598664
CHTR,2014-01-28,2014-02-14,137.85,128.71,13,-6.6303953572723895,stop,signal,-9.775294609371166
CHTR,2015-10-30,2015-12-14,193.19,178.7,30,-7.500388218851917,stop,signal,-3.588004706781956
CHTR,2013-08-23,2013-11-19,124.73,129.61,61,3.9124508939309077,hold_limit,random,-3.865123909212942
CHTR,2014-01-17,2014-02-14,134.56,128.71,19,-4.347502972651595,stop,random,-5.3262545601273965
CHTR,2014-07-10,2014-10-06,160.85,153.38,61,-4.644078333851409,hold_limit,random,-3.6978196792975537
CHTR,2014-10-14,2014-10-15,145.09,141.64,1,-2.3778344475842705,stop,random,-1.9171022741819255
CHTR,2014-12-04,2015-01-22,167.94,156.28,32,-6.942955817553886,stop,random,-7.631766489106595
CHTR,2015-03-05,2015-06-02,186.98,178.36,61,-4.610118729275847,hold_limit,random,-5.13232770581925
CHTR,2015-06-25,2015-06-26,169.09,168.32,1,-0.45537879235910683,stop,random,-0.49884896276508606
CHTR,2015-09-01,2015-09-02,180.53,179.01,1,-0.8419653243228353,stop,random,-2.477545494826794
CHTR,2015-11-27,2015-12-04,185.63,180.51,5,-2.7581748639767256,stop,random,-2.1845551034883837
CHTR,2016-01-05,2016-01-06,177.29,173.35,1,-2.222347566134586,stop,random,-0.547547373906665
CHTR,2016-04-29,2016-07-27,207.64,239.94,61,15.555769601232905,hold_limit,random,9.789392415601972
CHTR,2016-08-18,2016-11-14,257.35,272.29,61,5.805323489411296,hold_limit,random,5.959011116265245
CHTR,2017-03-09,2017-06-06,322.87,344.46,61,6.686901849041393,hold_limit,random,4.318936348668689
CHTR,2017-08-14,2017-10-27,398.78,314.83,53,-21.051707708510957,stop,random,-25.053677979311693
CI,2016-04-05,2016-04-06,140.97,135.17,1,-4.11435057104349,stop,signal,-5.184114200938594
CI,2013-11-21,2014-02-11,86.4,76.7,54,-11.22685185185185,stop,random,-14.296923829363283
CI,2014-05-07,2014-08-04,84.0,91.08,61,8.42857142857143,hold_limit,random,5.240771899223763
CI,2014-09-09,2014-10-15,96.01,86.5,26,-9.905218206436839,stop,random,-2.7554963279410094
CI,2016-08-29,2016-08-30,127.62,128.18,1,0.4388026955022717,stop,random,0.6418335316357604
CI,2016-09-16,2016-10-06,128.94,127.04,14,-1.4735535908174224,stop,random,-2.947391826879553
CI,2016-11-21,2017-02-21,138.13,144.01,61,4.256859480199804,hold_limit,random,-2.9601412123944515
CI,2017-03-07,2017-06-02,152.59,164.0,61,7.477554230290329,hold_limit,random,4.780256062717547
CI,2017-06-13,2017-09-08,166.82,184.69,61,10.712144826759395,hold_limit,random,11.275169367561977
CI,2017-11-17,2018-02-07,199.91,195.44,54,-2.236006202791252,data_end,random,-5.487799752717604
CL,2016-02-01,2016-04-28,66.93,69.4,61,3.690422829822193,hold_limit,signal,-6.956116868061146
CL,2013-10-10,2014-01-08,60.65,64.17,61,5.8037922506183115,hold_limit,random,-2.6618760805296127
CL,2015-07-01,2015-07-07,65.59,66.14,3,0.8385424607409542,stop,random,0.6937634639617496
CL,2015-11-20,2016-01-05,66.75,64.73,29,-3.0262172284644118,stop,random,0.48973616228510375
CL,2017-02-08,2017-05-08,66.67,71.83,61,7.739613019349023,hold_limit,random,4.238461412051997
CL,2017-06-30,2017-07-13,74.31,72.21,8,-2.825999192571671,stop,random,-3.426270221197436
CL,2017-08-15,2017-08-18,71.45,71.34,3,-0.15395381385584495,stop,random,1.362350912762944
CL,2017-11-13,2017-11-20,73.26,71.94,5,-1.8018018018018167,stop,random,-2.340984352837794
